Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total;Year;ID;Lloc;Trans;height;class;epibiosis;biomassa total
1999,20;1;1;1;4;3;37;0,046962058;2000;1;1;1;;;;;2001;1;1;1;;;;;2002;1;1;1;;;;;2003;3;1;1;17;4;5;3,091898907;2005;3;1;1;18;4;3;3,664907082;2006;3;1;1;21;5;5;5,367177524;2007;3;1;1;25;5;0;8,905399734;2008;3;1;1;25;5;0;8,905399734;2009;3;1;1;25;5;0;8,905399734
1999,20;2;1;1;7;3;0;0,321170672;2000;2;1;1;;;;;2001;2;1;1;;;;;2002;2;1;1;;;;;2003;4;1;1;25;5;0;8,905399734;2005;4;1;1;25;5;5;8,460129748;2006;4;1;1;26;5;10;8,878772808;2007;4;1;1;28;5;20;9,576403671;2008;4;1;1;29;5;20;10,49491093;2009;4;1;1;30;5;5;13,61570319
1999,20;3;1;1;1,5;2;0;0,005762729;2000;3;1;1;;;;;2001;3;1;1;;;;;2002;3;1;1;;;;;2003;5;1;1;28;5;40;7,182302753;2005;5;1;1;29,5;5;20;10,97375966;2006;5;1;1;13,5;4;0;1,783204418;2007;5;1;1;13,5;4;0;1,783204418;2008;5;1;1;17;4;0;3,254630428;2009;5;1;1;17;4;20;2,603704343
1999,20;4;1;1;1;2;0;0,002;2000;4;1;1;;;;;2001;4;1;1;;;;;2002;4;1;1;;;;;2003;8;1;1;16;4;40;1,666995398;2005;8;1;1;16;4;5;2,639409379;2006;8;1;1;17;4;5;3,091898907;2007;8;1;1;17;4;0;3,254630428;2008;8;1;1;17;4;10;2,929167386;2009;8;1;1;14;4;20;1,568607025
1999,20;5;1;1;3,5;3;0;0,052607491;2000;5;1;1;4;3;20;0,05963436;2001;5;1;1;5,0;3;10;0,120111397;2002;5;1;1;7,5;3;10;0,346084702;2003;9;1;1;14,5;4;40;1,289293318;2005;9;1;1;16;4;5;2,639409379;2006;9;1;1;19;4;0;4,350877884;2007;9;1;1;19;4;0;4,350877884;2008;9;1;1;20;4;20;3,979314564;2009;9;1;1;21;5;0;5,649660552
1999,20;6;1;1;6;3;0;0,214785401;2000;6;1;1;5;3;95;0,006672855;2001;6;1;1;4,5;3;75;0,025342804;2002;6;1;1;6,5;3;50;0,132343879;2003;14;1;1;47;7;20;37,00798095;2005;14;1;1;52;7;2;59,02347817;2006;14;1;1;;;;;2007;14;1;1;;;;;2008;14;1;1;;;;;2009;14;1;1;;;;
1999,20;7;1;1;5;3;0;0,133457107;2000;7;1;1;5;3;30;0,093419975;2001;7;1;1;8,0;3;50;0,227543726;2002;7;1;1;7,0;3;0;0,321170672;2003;15;1;1;30;5;20;11,46585532;2005;15;1;1;29;5;25;9,838978999;2006;15;1;1;15;4;90;0,234762206;2007;15;1;1;17;4;90;0,325463043;2008;15;1;1;17;4;90;0,325463043;2009;15;1;1;19;4;90;0,435087788
1999,20;8;1;1;3,5;3;0;0,052607491;2000;8;1;1;;;;;2001;8;1;1;;;;;2002;8;1;1;;;;;2003;16;1;1;30;5;20;11,46585532;2005;16;1;1;;;;;2006;16;1;1;;;;;2007;16;1;1;;;;;2008;16;1;1;;;;;2009;16;1;1;;;;
1999,20;9;1;1;6;3;0;0,214785401;2000;9;1;1;6;3;0;0,214785401;2001;9;1;1;;;;;2002;9;1;1;;;;;2003;17;1;1;9,5;3;80;0,142534042;2005;17;1;1;13;4;5;1,535132091;2006;17;1;1;15;4;5;2,230240957;2007;17;1;1;18;4;0;3,778254724;2008;17;1;1;23;5;0;7,163737236;2009;17;1;1;24;5;0;8,005368657
1999,20;9a;1;1;;;;;2000;9a;1;1;;;;;2001;9a;1;1;2,0;2;0;0,012210074;2002;9a;1;1;4;3;0;0,052607491;2003;18;1;1;23;5;0;7,163737236;2005;18;1;1;24,5;5;0;8,447991648;2006;18;1;1;26;5;20;7,892242496;2007;18;1;1;26;5;5;9,372037964;2008;18;1;1;27;5;10;9,797875791;2009;18;1;1;28;5;20;9,576403671
1999,20;10;1;1;4;3;0,0;0,052607491;2000;10;1;1;4,5;3;0;0,101371216;2001;10;1;1;7,0;3;0;0,321170672;2002;10;1;1;8,5;3;50;0,26655289;2003;19;1;1;19;4;0;4,350877884;2005;19;1;1;21,5;5;0;6,007508252;2006;19;1;1;22;5;10;5,741107806;2007;19;1;1;24;5;5;7,605100225;2008;19;1;1;26,5;5;5;9,849752818;2009;19;1;1;27;5;0;10,88652866
1999,20;10a;1;1;;;;;2000;10a;1;1;;;;;2001;10a;1;1;2,0;2;0;0,012210074;2002;10a;1;1;;;;;2003;21;1;1;38;6;20;21,2498158;2005;21;1;1;38;6;2;26,03102436;2006;21;1;1;;;;;2007;21;1;1;;;;;2008;21;1;1;;;;;2009;21;1;1;;;;
1999,20;11;1;1;10;3;12;0,716989289;2000;11;1;1;6;3;0;0,214785401;2001;11;1;1;;;;;2002;11;1;1;;;;;2003;27;1;1;18;4;50;1,889127362;2005;27;1;1;17;4;50;1,627315214;2006;27;1;1;19;4;20;3,480702307;2007;27;1;1;19;4;10;3,915790096;2008;27;1;1;20;4;10;4,476728884;2009;27;1;1;12;4;30;0,91789095
1999,20;12;1;1;9;3;0;0,618875008;2000;12;1;1;10;3;50;0,407380278;2001;12;1;1;;;;;2002;12;1;1;;;;;2003;28;1;1;15;4;5;2,230240957;2005;28;1;1;22;5;0;6,379008673;2006;28;1;1;24;5;0;8,005368657;2007;28;1;1;26;5;0;9,86530312;2008;28;1;1;27;5;0;10,88652866;2009;28;1;1;32;6;0;16,96178051
1999,20;13;1;1;12;4;0;1,311272786;2000;13;1;1;11;4;90;0,104487636;2001;13;1;1;11,0;4;25;0,783657271;2002;13;1;1;11,5;4;30;0,821389977;2003;29;1;1;22;5;5;6,060058239;2005;29;1;1;23;5;20;5,730989789;2006;29;1;1;25;5;10;8,014859761;2007;29;1;1;25;5;10;8,014859761;2008;29;1;1;26;5;20;7,892242496;2009;29;1;1;26;5;20;7,892242496
1999,20;14;1;1;4,5;3;0;0,101371216;2000;14;1;1;4,5;3;0;0,101371216;2001;14;1;1;;;;;2002;14;1;1;;;;;2003;31;1;1;40;6;0;30,36732749;2005;31;1;1;;;;;2006;31;1;1;;;;;2007;31;1;1;;;;;2008;31;1;1;;;;;2009;31;1;1;;;;
1999,20;15;1;1;8;3;0;0,455087453;2000;15;1;1;8;3;20;0,364069962;2001;15;1;1;6,0;3;5;0,204046131;2002;15;1;1;5,5;3;50;0,085574943;2003;34;1;1;11;4;99;0,010448764;2005;34;1;1;13;4;80;0,323185703;2006;34;1;1;;;;;2007;34;1;1;;;;;2008;34;1;1;;;;;2009;34;1;1;;;;
1999,20;15a;1;1;;;;;2000;15a;1;1;;;;;2001;15a;1;1;;;;;2002;15a;1;1;1,0;2;0;0,002;2003;38;1;1;12;4;95;0,065563639;2005;38;1;1;12;4;99;0,013112728;2006;38;1;1;11,5;4;40;0,704048552;2007;38;1;1;13;4;40;0,96955711;2008;38;1;1;9;3;60;0,247550003;2009;38;1;1;11;4;70;0,313462908
